Country,Continent,First acquisition of sovereignty,Date of last subordination,Previous governing power,Notes
Afghanistan,Asia,678 BC,1823,Qajar dynasty,
Albania,Europe,"Nov 28, 1912",1944,Germany,1992–present: Republic of Albania1944–92: People's Socialist Republic of Albania1928–44: Albanian Kingdom (de facto protectorate of Italy 1928-1939; occupied by Italy 1939-43; occupied by Germany 1943-44)1925–28: Albanian Republic (de facto protectorate of Italy)1914–25: Principality of Albania (via Albanian Declaration of Independence)1912–14: Provisional Government of Albania1479–1912: Part of Ottoman Empire1444–79: League of Lezhë1190–1444: Various Albanian principalitiesBefore 1190: Part of Byzantine Empire
Algeria,Africa,"Jul 3, 1962",1962,France,1962–present: People's Democratic Republic of Algeria (via Évian Accords)1830–1962: integral part of France (as French Algeria)1556–1830: part of the Ottoman Empire (as the Eyalet of Algiers)
Andorra,Europe,"Sep 7, 1278",1944,France,"1278–present: Principality of Andorra (via Paréage of Andorra; occupied by France 1812-13, 1870, 1914, 1936, 1939, 1944)"
Angola,Africa,"Nov 11, 1975",1975,Portugal,1992–present: Republic of Angola1975–1992: People's Republic of Angola (via the Alvor Agreement)1575–1975: Portuguese Angola (colony of Portugal)
Antigua and Barbuda,The Americas,"Nov 1, 1981",1981,United Kingdom,1981–present: Antigua and Barbuda1632–1981: Colony of England/Great Britain/United Kingdom (ruled by France in 1666)Before 1632: Inhabited by indigenous peoples of the Americas
Argentina,The Americas,"May 25, 1810",1816,Spain,"1861–present: Argentine Republic1831–1861: Argentine Confederation1810–1831: United Provinces of the Rio de la Plata (via the 1810 May Revolution; on 9 July 1816, the Congress of Tucumán issued the formal Declaration of Independence)1776–1810: Viceroyalty of the Río de la Plata (colony of Spain)1542–1824: Part of Viceroyalty of Peru (colony of Spain)1528–1542: Part of Spanish colonyBefore 1528: Inhabited by indigenous peoples of the Americas, including the Inca Empire"
Armenia,Transcontinental - Asia/Europe,2492 BC,1991,Soviet Union,1991–present: Republic of Armenia1920–1991: Armenian Soviet Socialist Republic1918–1920: Democratic Republic of Armenia1829–1918: Part of Russian empireBefore 1829: Part of Ottoman Empire321 BC–AD 428: First independent as Kingdom of Armenia549 BC–331 BC: Part of Achaemenid Empire860 BC–590 BC: Kingdom of Ararat1114 BC–860 BC: Nairi1300 BC–1190 BC: Arme-Shupria1500 BC–1290 BC: Hayasa-Azzi2492 BC: Traditional foundation
Australia,Oceania,"Jan 1, 1901",1942,United Kingdom,1901–present: Commonwealth of Australia (via Constitution of Australia
Austria,Europe,"Nov 12, 1918",1955,World War II Allies  (Allied-occupied Austria),1955–present: Republic of Austria (via Austrian State Treaty)1945–55: Allied-occupied Austria1938–45: Annexed by Nazi Germany1934–38: Federal State of Austria (client state of Italy)1919–34: First Republic of Austria (via Treaty of Saint Germain)1918–19: Republic of German-Austria (via Proclamation of Charles I)1867–1918: Austria-Hungary (via Austro-Hungarian Compromise of 1867)1804–67: Austrian Empire1457–1804: Archduchy of Austria (state of the Holy Roman Empire)1156–1457: Duchy of Austria (state of the Holy Roman Empire)
Azerbaijan,Transcontinental - Asia/Europe,"May 28, 1918",1991,Soviet Union,"1995–present: Republic of Azerbaijan (independence from Soviet Union declared 1991; constitution adopted 1995)
1920-1995: Azerbaijan Soviet Socialist Republic
1918-1920: Azerbaijan Democratic Republic
1824-1918: Part of Russian Empire
1796–1824: Part of Qajar Empire
1747–1796: Part of Afsharid Dynasty
(1760–1794): Part of Zand Dynasty
1736–1747: Part of Afsharid Empire
(1722–1729): Part of Hotaki Dynasty
1501–1736: Part of Safavid Empire
1468–1508: Part of Agh Qoyunlu
1405–1507: Part of Timurid Dynasty
1406–1468: Part of Qara Qoyunlu
1370–1405: Part of Timurid Empire
1337–1376: Part of Sarbadars
1336–1432: Part of Jalayirid Dynasty
1335–1393: Part of Muzaffarid Dynasty
1335–1357: Part of Chobanid Dynasty
1256–1335: Part of Ilkhanate Empire
1077–1231: Part of Khwarazmian Empire
1037–1194: Part of Great Seljuq Empire
963–1186: Part of Ghaznavid Empire
875–999: Part of Samanid Dynasty
934–1055: Part of Buyid Dynasty
867–1002: Part of Saffarid Dynasty
928–1043: Part of Ziyarid Dynasty
750–1258: Part of Abbasid Caliphate
661–750: Part of Umayyad Caliphate
(642–759/760): Part of Dabuyid dynasty
224–651: Part of Sassanid Empire
247 BCE – 224 CE: Part of Parthian Empire
312–63 BCE: Part of Seleucid Empire
550–330 BCE: Part of Achaemenid Empire
(652–625 BCE): Part of Scythian Kingdom
678–550 BCE: Part of Median Empire
850–616 BCE: Part of Mannaeans
2700–539 BCE: Part of Elam
3200–2700 BCE: Part of Proto-Elamite"
Bahamas,The Americas,"July 10, 1973",1973,United Kingdom,1973–present: Commonwealth of the Bahamas(Self-government gained from the United Kingdom in 1964; independence gained on 10 July 1973)1718-1973: Part of the British West Indies1492-1718: Part of the Spanish Empire500to 800-1492: Inhabited by the Lucayans
